Code,ForecastDate,ForecastType,ForecastStart,ForecastEnd,PrecipitationProbability,WeatherConditions,PrecipitationType,ExpectedPrecipitationAmount,MinimumTemperature,MaximumTemperature,WindDirection,WindSpeed,PrecipitationAmountDay,Notes,global_id
797217,22.06.2023,трехчасовой прогноз,22.06.2023,22.06.2023,,,без осадков,,23,25,,,,"Днем без осадков, температура 23…25 градусов, ветер юго-западный 5-10 м/сек. Ночью кратковременный дождь, 3-12 мм, возможна гроза, температура 14…16 градусов, ветер переменный 2-7 м/сек, при грозе порывы 12-17 м/сек.",2597544348
797402,23.06.2023,трехчасовой прогноз,23.06.2023,23.06.2023,,,дождь,,21,23,,,,"Днем кратковременный дождь, местами сильный 5-12 мм, местами до 15-20 мм, местами гроза, температура 21…23 градуса, ветер южный 5-10 м/сек, при грозе порывы 12-17 м/сек. Ночью местами небольшой кратковременный дождь 0-2 мм, температура 14…16 градусов, ветер северо-западный 3-8 м/сек.",2597571956
797587,24.06.2023,трехчасовой прогноз,24.06.2023,24.06.2023,,,дождь,,21,23,,,,"Днем местами небольшой кратковременный дождь 0-1 мм, температура 21…23 градуса, ветер северо-западный 5-10 м/сек. Ночью без существенных осадков 0-0,2 мм, температура 13…15 градусов, ветер северо-восточный 3-8 м/сек.",2597636533
797783,25.06.2023,трехчасовой прогноз,25.06.2023,25.06.2023,,,дождь,,21,23,,,,"Днем без существенных осадков 0-0,2 мм, температура 21…23 градуса, ветер северо-восточный 3-8 м/сек. Ночью без существенных осадков 0-0,2 мм, температура 13…15 градусов, ветер северо-восточный 3-8 м/сек.",2597665468
797979,26.06.2023,трехчасовой прогноз,26.06.2023,26.06.2023,,,дождь,,23,25,,,,"Днем местами небольшой кратковременный дождь 0-1 мм, температура 23…25 градусов, ветер восточный 5-10 м/сек. Ночью без существенных осадков 0-0,2 мм, температура 13…15 градусов, ветер восточный 3-8 м/сек.",2597703711
798164,27.06.2023,трехчасовой прогноз,27.06.2023,27.06.2023,,,дождь,,22,24,,,,"Днем местами небольшой кратковременный дождь 0-1 мм, температура 22…24 градусов, ветер восточный 5-10 м/сек. Ночью без существенных осадков 0-0,2 мм, температура 13…15 градусов, ветер слабый, менее 5 м/сек.",2597732464
798360,28.06.2023,трехчасовой прогноз,28.06.2023,28.06.2023,,,дождь,,20,22,,,,"Днем местами небольшой кратковременный дождь 0-2 мм, температура 20…22 градуса, ветер юго-восточный 5-10 м/сек. Ночью дождь, местами сильный 5-10 мм, температура 13…15 градусов, ветер южный 3-8 м/сек.",2598117791
798556,29.06.2023,трехчасовой прогноз,29.06.2023,29.06.2023,,,дождь,,18,20,,,,"Днем кратковременный дождь 1-5 мм, температура 18…20 градусов, ветер южный 3-8 м/сек. Ночью кратковременный дождь 1-5 мм, температура 12…14 градусов, ветер переменный 2-7 м/сек.",2598250913
798752,30.06.2023,трехчасовой прогноз,30.06.2023,30.06.2023,,,дождь,,19,21,,,,"Днем кратковременные дожди, местами сильные, возможна гроза 5-14 мм, местами до 20 мм, температура 19…21 градус, ветер северо-восточный 5-10 м/сек, при грозе порывы 12-17 м/сек. Ночью местами небольшой кратковременный дождь 0-1 мм, температура 13…15 градусов, ветер северо-западный 3-8 м/сек.",2598327926
798937,01.07.2023,трехчасовой прогноз,01.07.2023,01.07.2023,,,дождь,,22,24,,,,"Днем местами небольшой кратковременный дождь 0-2 мм, температура 22…24 градуса, ветер северо-западный 5-10 м/сек. Ночью местами небольшой кратковременный дождь 0-1 мм, температура 13…15 градусов, ветер западный 3-8 м/сек.",2598349893
